0 96 2001-01-08 23:00:00,  high, OK,0.5833,1
0 97 2001-01-09 00:00:00,  high, NG,0.5773,1
0 98 2001-01-09 01:00:00,   low, OK,0.5816,1
0 99 2001-01-09 02:00:00,   low, NG,0.5758,1
0 100 2001-01-09 03:00:00,  high, OK,0.58,1
0 101 2001-01-09 04:00:00,  high, NG,0.5743,1
0 102 2001-01-09 05:00:00,   low, NG,0.5686,1
0 103 2001-01-09 06:00:00,  high, NG,0.5631,1
0 104 2001-01-09 07:00:00,   low, OK,0.5673,1
0 105 2001-01-09 08:00:00,   low, OK,0.5714,1
0 106 2001-01-09 09:00:00,   low, NG,0.566,1
0 107 2001-01-09 10:00:00,  high, NG,0.5607,1
0 108 2001-01-09 11:00:00,   low, NG,0.5556,1
0 109 2001-01-09 12:00:00,   low, OK,0.5596,1
0 110 2001-01-09 13:00:00,   low, OK,0.5636,0.7
0 111 2001-01-09 14:00:00,  high, OK,0.5676,1
0 112 2001-01-09 15:00:00,  high, OK,0.5714,1
0 113 2001-01-09 16:00:00,  high, OK,0.5752,1
0 114 2001-01-09 17:00:00,  high, OK,0.5789,1
0 115 2001-01-09 18:00:00,   low, NG,0.5739,1
0 116 2001-01-09 19:00:00,   low, OK,0.5776,0.8
0 117 2001-01-09 20:00:00,  high, OK,0.5812,1
0 118 2001-01-09 21:00:00,   low, NG,0.5763,1
0 119 2001-01-09 22:00:00,  high, OK,0.5798,1
0 120 2001-01-09 23:00:00,   low, OK,0.5833,1
0 121 2001-01-10 00:00:00,  high, OK,0.5868,1
0 122 2001-01-10 01:00:00,   low, OK,0.5902,1
0 123 2001-01-10 02:00:00,  high, NG,0.5854,1
0 124 2001-01-10 03:00:00,   low, NG,0.5806,1
0 125 2001-01-10 04:00:00,   low, OK,0.584,1
0 126 2001-01-10 05:00:00,   low, OK,0.5873,1
0 127 2001-01-10 06:00:00,   low, NG,0.5827,1
0 128 2001-01-10 07:00:00,  high, OK,0.5859,1
0 129 2001-01-10 08:00:00,  high, OK,0.5891,1
0 130 2001-01-10 09:00:00,  high, OK,0.5923,1
0 131 2001-01-10 10:00:00,   low, OK,0.5954,1
0 132 2001-01-10 11:00:00,  high, OK,0.5985,1
0 133 2001-01-10 12:00:00,  high, NG,0.594,1
0 134 2001-01-10 13:00:00,   low, OK,0.597,1
0 135 2001-01-10 14:00:00,  high, OK,0.6,1
0 136 2001-01-10 15:00:00,  high, NG,0.5956,1
0 137 2001-01-10 16:00:00,  high, OK,0.5985,1
0 138 2001-01-10 17:00:00,  high, NG,0.5942,1
0 139 2001-01-10 18:00:00,  high, OK,0.5971,1
0 140 2001-01-10 19:00:00,  high, NG,0.5929,1
0 141 2001-01-10 20:00:00,   low, NG,0.5887,1
0 142 2001-01-10 21:00:00,  high, OK,0.5915,1
0 143 2001-01-10 22:00:00,  high, NG,0.5874,1
0 144 2001-01-10 23:00:00,   low, NG,0.5833,0.7
0 145 2001-01-11 00:00:00,   low, NG,0.5793,1
0 146 2001-01-11 01:00:00,  high, OK,0.5822,1
0 147 2001-01-11 02:00:00,  high, OK,0.585,1
0 148 2001-01-11 03:00:00,   low, OK,0.5878,1
0 149 2001-01-11 04:00:00,   low, NG,0.5839,1
0 150 2001-01-11 05:00:00,  high, OK,0.5867,1
0 151 2001-01-11 06:00:00,  high, NG,0.5828,1
0 152 2001-01-11 07:00:00,  high, NG,0.5789,1
0 153 2001-01-11 08:00:00,  high, NG,0.5752,1
0 154 2001-01-11 09:00:00,   low, NG,0.5714,1
0 155 2001-01-11 10:00:00,  high, OK,0.5742,1
0 156 2001-01-11 11:00:00,  high, OK,0.5769,1
0 157 2001-01-11 12:00:00,  high, OK,0.5796,1
0 158 2001-01-11 13:00:00,  high, OK,0.5823,1
0 159 2001-01-11 14:00:00,  high, NG,0.5786,0.3
0 160 2001-01-11 15:00:00,   low, NG,0.575,1
0 161 2001-01-11 16:00:00,  high, NG,0.5714,1
0 162 2001-01-11 17:00:00,   low, NG,0.5679,1
0 163 2001-01-11 18:00:00,  high, OK,0.5706,1
0 164 2001-01-11 19:00:00,   low, OK,0.5732,1
0 165 2001-01-11 20:00:00,   low, OK,0.5758,1
0 166 2001-01-11 21:00:00,   low, NG,0.5723,1
0 167 2001-01-11 22:00:00,  high, OK,0.5749,1
0 168 2001-01-11 23:00:00,  high, OK,0.5774,1
0 169 2001-01-12 00:00:00,  high, NG,0.574,1
0 170 2001-01-12 01:00:00,   low, OK,0.5765,1
0 171 2001-01-12 02:00:00,  high, OK,0.5789,1
0 172 2001-01-12 03:00:00,   low, NG,0.5756,1
0 173 2001-01-12 04:00:00,  high, OK,0.578,1
0 174 2001-01-12 05:00:00,  high, OK,0.5805,1
0 175 2001-01-12 06:00:00,   low, OK,0.5829,1
0 176 2001-01-12 07:00:00,   low, NG,0.5795,1
0 177 2001-01-12 08:00:00,  high, NG,0.5763,1
0 178 2001-01-12 09:00:00,  high, OK,0.5787,1
0 179 2001-01-12 10:00:00,   low, OK,0.581,1
0 180 2001-01-12 11:00:00,   low, NG,0.5778,1
0 181 2001-01-12 12:00:00,   low, NG,0.5746,1
0 182 2001-01-12 13:00:00,  high, NG,0.5714,1
0 183 2001-01-12 14:00:00,   low, OK,0.5738,1
0 184 2001-01-12 15:00:00,   low, NG,0.5707,1
0 185 2001-01-12 16:00:00,  high, NG,0.5676,1
0 186 2001-01-12 17:00:00,   low, NG,0.5645,1
0 187 2001-01-12 18:00:00,   low, NG,0.5615,1
0 188 2001-01-12 19:00:00,   low, NG,0.5585,1
0 189 2001-01-12 20:00:00,  high, OK,0.5608,1
0 190 2001-01-12 21:00:00,   low, NG,0.5579,1
0 191 2001-01-14 23:00:00,   low, OK,0.5602,1
0 192 2001-01-15 00:00:00,   low, NG,0.5573,1
0 193 2001-01-15 01:00:00,  high, NG,0.5544,1
0 194 2001-01-15 02:00:00,   low, NG,0.5515,1
0 195 2001-01-15 03:00:00,  high, OK,0.5538,1
0 196 2001-01-15 04:00:00,  high, OK,0.5561,1
0 197 2001-01-15 05:00:00,  high, NG,0.5533,1
0 198 2001-01-15 06:00:00,   low, OK,0.5556,1
0 199 2001-01-15 07:00:00,   low, OK,0.5578,1
0 200 2001-01-15 08:00:00,  high, OK,0.56,1
0 201 2001-01-15 09:00:00,  high, NG,0.5572,1
0 202 2001-01-15 10:00:00,  high, NG,0.5545,1
0 203 2001-01-15 11:00:00,   low, OK,0.5567,1
0 204 2001-01-15 12:00:00,   low, OK,0.5588,0.65
0 205 2001-01-15 13:00:00,  high, OK,0.561,1
0 206 2001-01-15 14:00:00,  high, NG,0.5583,1
0 207 2001-01-15 15:00:00,   low, NG,0.5556,1
0 208 2001-01-15 16:00:00,  high, OK,0.5577,1
0 209 2001-01-15 17:00:00,  high, NG,0.555,1
0 210 2001-01-15 18:00:00,  high, NG,0.5524,1
0 211 2001-01-15 19:00:00,   low, NG,0.5498,1
0 212 2001-01-15 20:00:00,  high, OK,0.5519,1
0 213 2001-01-15 21:00:00,  high, OK,0.554,0.95
0 214 2001-01-15 22:00:00,  high, OK,0.5561,1
0 215 2001-01-15 23:00:00,  high, NG,0.5535,1
0 216 2001-01-16 00:00:00,  high, NG,0.5509,1
0 217 2001-01-16 01:00:00,   low, OK,0.553,1
0 218 2001-01-16 02:00:00,  high, OK,0.555,1
0 219 2001-01-16 03:00:00,  high, OK,0.5571,1
0 220 2001-01-16 04:00:00,   low, OK,0.5591,1
0 221 2001-01-16 05:00:00,   low, NG,0.5566,1
0 222 2001-01-16 06:00:00,   low, OK,0.5586,1
0 223 2001-01-16 07:00:00,   low, NG,0.5561,1
0 224 2001-01-16 08:00:00,   low, NG,0.5536,1
0 225 2001-01-16 09:00:00,  high, OK,0.5556,1
0 226 2001-01-16 10:00:00,   low, OK,0.5575,1
0 227 2001-01-16 11:00:00,  high, NG,0.5551,1
0 228 2001-01-16 12:00:00,  high, OK,0.557,1
0 229 2001-01-16 13:00:00,   low, OK,0.559,1
0 230 2001-01-16 14:00:00,   low, OK,0.5609,1
0 231 2001-01-16 15:00:00,   low, NG,0.5584,1
0 232 2001-01-16 16:00:00,  high, NG,0.556,1
0 233 2001-01-16 17:00:00,  high, NG,0.5536,1
0 234 2001-01-16 18:00:00,   low, NG,0.5513,1
0 235 2001-01-16 19:00:00,  high, OK,0.5532,1
0 236 2001-01-16 20:00:00,  high, OK,0.5551,1
0 237 2001-01-16 21:00:00,  high, OK,0.557,1
0 238 2001-01-16 22:00:00,   low, NG,0.5546,1
0 239 2001-01-16 23:00:00,  high, NG,0.5523,1
0 240 2001-01-17 00:00:00,   low, OK,0.5542,1
0 241 2001-01-17 01:00:00,   low, OK,0.556,1
0 242 2001-01-17 02:00:00,   low, OK,0.5579,1
0 243 2001-01-17 03:00:00,  high, NG,0.5556,1
0 244 2001-01-17 04:00:00,  high, OK,0.5574,1
0 245 2001-01-17 05:00:00,  high, NG,0.5551,1
0 246 2001-01-17 06:00:00,  high, OK,0.5569,1
0 247 2001-01-17 07:00:00,   low, NG,0.5547,1
0 248 2001-01-17 08:00:00,  high, OK,0.5565,1
0 249 2001-01-17 09:00:00,  high, OK,0.5582,1
0 250 2001-01-17 10:00:00,   low, NG,0.556,1
0 251 2001-01-17 11:00:00,  high, OK,0.5578,1
0 252 2001-01-17 12:00:00,   low, NG,0.5556,1
0 253 2001-01-17 13:00:00,  high, NG,0.5534,1
0 254 2001-01-17 14:00:00,   low, OK,0.5551,1
0 255 2001-01-17 15:00:00,  high, NG,0.5529,1
0 256 2001-01-17 16:00:00,  high, OK,0.5547,1
0 257 2001-01-17 17:00:00,   low, NG,0.5525,1
0 258 2001-01-17 18:00:00,  high, OK,0.5543,1
0 259 2001-01-17 19:00:00,  high, OK,0.556,1
0 260 2001-01-17 20:00:00,  high, OK,0.5577,1
0 261 2001-01-17 21:00:00,  high, NG,0.5556,1
0 262 2001-01-17 22:00:00,  high, NG,0.5534,1
0 263 2001-01-17 23:00:00,  high, OK,0.5551,1
0 264 2001-01-18 00:00:00,  high, OK,0.5568,1
0 265 2001-01-18 01:00:00,  high, OK,0.5585,1
0 266 2001-01-18 02:00:00,   low, OK,0.5602,1
0 267 2001-01-18 03:00:00,  high, NG,0.5581,1
0 268 2001-01-18 04:00:00,   low, NG,0.556,1
0 269 2001-01-18 05:00:00,  high, OK,0.5576,1
0 270 2001-01-18 06:00:00,   low, OK,0.5593,1
0 271 2001-01-18 07:00:00,  high, OK,0.5609,1
0 272 2001-01-18 08:00:00,  high, NG,0.5588,1
0 273 2001-01-18 09:00:00,  high, NG,0.5568,1
0 274 2001-01-18 10:00:00,   low, NG,0.5547,1
0 275 2001-01-18 11:00:00,   low, OK,0.5564,1
0 276 2001-01-18 12:00:00,   low, OK,0.558,1
0 277 2001-01-18 13:00:00,   low, OK,0.5596,1
0 278 2001-01-18 14:00:00,   low, OK,0.5612,1
0 279 2001-01-18 15:00:00,   low, OK,0.5627,1
0 280 2001-01-18 16:00:00,  high, OK,0.5643,1
0 281 2001-01-18 17:00:00,  high, NG,0.5623,1
0 282 2001-01-18 18:00:00,   low, NG,0.5603,1
0 283 2001-01-18 19:00:00,   low, NG,0.5583,1
0 284 2001-01-18 20:00:00,  high, OK,0.5599,1
0 285 2001-01-18 21:00:00,   low, OK,0.5614,1
0 286 2001-01-18 22:00:00,  high, OK,0.5629,1
0 287 2001-01-18 23:00:00,  high, NG,0.561,1
0 288 2001-01-19 00:00:00,  high, NG,0.559,1
0 289 2001-01-19 01:00:00,   low, OK,0.5606,1
0 290 2001-01-19 02:00:00,   low, NG,0.5586,0.55
0 291 2001-01-19 03:00:00,  high, OK,0.5601,1
0 292 2001-01-19 04:00:00,  high, OK,0.5616,1
0 293 2001-01-19 05:00:00,  high, NG,0.5597,1
0 294 2001-01-19 06:00:00,   low, OK,0.5612,1
0 295 2001-01-19 07:00:00,  high, OK,0.5627,1
0 296 2001-01-19 08:00:00,  high, OK,0.5642,1
0 297 2001-01-19 09:00:00,  high, OK,0.5657,1
0 298 2001-01-19 10:00:00,   low, NG,0.5638,1
0 299 2001-01-19 11:00:00,   low, OK,0.5652,1
0 300 2001-01-19 12:00:00,  high, OK,0.5667,1
0 301 2001-01-19 13:00:00,   low, OK,0.5681,1
0 302 2001-01-19 14:00:00,   low, OK,0.5695,1
0 303 2001-01-19 15:00:00,   low, NG,0.5677,1
0 304 2001-01-19 16:00:00,   low, OK,0.5691,1
0 305 2001-01-19 17:00:00,  high, NG,0.5672,1
0 306 2001-01-19 18:00:00,  high, OK,0.5686,1
0 307 2001-01-19 19:00:00,  high, NG,0.5668,1
0 308 2001-01-19 20:00:00,   low, OK,0.5682,1
0 309 2001-01-19 21:00:00,  high, OK,0.5696,1
0 310 2001-01-21 23:00:00,  high, NG,0.5677,1
0 311 2001-01-22 00:00:00,   low, OK,0.5691,1
0 312 2001-01-22 01:00:00,   low, NG,0.5673,1
0 313 2001-01-22 02:00:00,  high, OK,0.5687,1
0 314 2001-01-22 03:00:00,  high, OK,0.5701,1
0 315 2001-01-22 04:00:00,   low, OK,0.5714,1
0 316 2001-01-22 05:00:00,   low, OK,0.5728,1
0 317 2001-01-22 06:00:00,  high, NG,0.571,1
0 318 2001-01-22 07:00:00,  high, OK,0.5723,1
0 319 2001-01-22 08:00:00,   low, OK,0.5737,1
0 320 2001-01-22 09:00:00,  high, NG,0.5719,1
0 321 2001-01-22 10:00:00,   low, OK,0.5732,1
0 322 2001-01-22 11:00:00,  high, NG,0.5714,1
0 323 2001-01-22 12:00:00,  high, OK,0.5728,1
0 324 2001-01-22 13:00:00,   low, OK,0.5741,1
0 325 2001-01-22 14:00:00,  high, NG,0.5723,1
0 326 2001-01-22 15:00:00,   low, OK,0.5736,1
0 327 2001-01-22 16:00:00,  high, OK,0.5749,1
0 328 2001-01-22 17:00:00,   low, OK,0.5762,1
0 329 2001-01-22 18:00:00,   low, NG,0.5745,1
0 330 2001-01-22 19:00:00,   low, NG,0.5727,1
0 331 2001-01-22 20:00:00,   low, OK,0.574,1
0 332 2001-01-22 21:00:00,   low, OK,0.5753,1
0 333 2001-01-22 22:00:00,  high, OK,0.5766,1
0 334 2001-01-22 23:00:00,   low, NG,0.5749,1
0 335 2001-01-23 00:00:00,   low, OK,0.5761,1
0 336 2001-01-23 01:00:00,  high, OK,0.5774,1
0 337 2001-01-23 02:00:00,  high, OK,0.5786,1
0 338 2001-01-23 03:00:00,  high, OK,0.5799,1
0 339 2001-01-23 04:00:00,   low, NG,0.5782,1
0 340 2001-01-23 05:00:00,  high, OK,0.5794,1
0 341 2001-01-23 06:00:00,   low, OK,0.5806,1
0 342 2001-01-23 07:00:00,   low, OK,0.5819,1
0 343 2001-01-23 08:00:00,   low, NG,0.5802,1
0 344 2001-01-23 09:00:00,   low, NG,0.5785,1
0 345 2001-01-23 10:00:00,  high, OK,0.5797,1
0 346 2001-01-23 11:00:00,   low, NG,0.578,1
0 347 2001-01-23 12:00:00,   low, OK,0.5793,1
0 348 2001-01-23 13:00:00,   low, OK,0.5805,1
0 349 2001-01-23 14:00:00,   low, OK,0.5817,1
0 350 2001-01-23 15:00:00,   low, NG,0.58,1
0 351 2001-01-23 16:00:00,   low, OK,0.5812,1
0 352 2001-01-23 17:00:00,   low, OK,0.5824,1
0 353 2001-01-23 18:00:00,  high, OK,0.5836,0.95
0 354 2001-01-23 19:00:00,  high, OK,0.5847,1
0 355 2001-01-23 20:00:00,  high, OK,0.5859,1
0 356 2001-01-23 21:00:00,  high, NG,0.5843,1
0 357 2001-01-23 22:00:00,   low, OK,0.5854,1
0 358 2001-01-23 23:00:00,  high, NG,0.5838,1
0 359 2001-01-24 00:00:00,  high, OK,0.585,1
0 360 2001-01-24 01:00:00,  high, NG,0.5833,1
0 361 2001-01-24 02:00:00,  high, OK,0.5845,1
0 362 2001-01-24 03:00:00,  high, OK,0.5856,1
0 363 2001-01-24 04:00:00,   low, NG,0.584,0.95
0 364 2001-01-24 05:00:00,  high, OK,0.5852,1
0 365 2001-01-24 06:00:00,  high, OK,0.5863,1
0 366 2001-01-24 07:00:00,  high, OK,0.5874,0.45
0 367 2001-01-24 08:00:00,  high, OK,0.5886,1
0 368 2001-01-24 09:00:00,   low, NG,0.587,1
0 369 2001-01-24 10:00:00,  high, OK,0.5881,0.95
0 370 2001-01-24 11:00:00,  high, OK,0.5892,1
0 371 2001-01-24 12:00:00,   low, NG,0.5876,1
0 372 2001-01-24 13:00:00,  high, NG,0.586,1
0 373 2001-01-24 14:00:00,   low, NG,0.5845,1
0 374 2001-01-24 15:00:00,  high, OK,0.5856,1
0 375 2001-01-24 16:00:00,   low, OK,0.5867,1
0 376 2001-01-24 17:00:00,  high, OK,0.5878,1
0 377 2001-01-24 18:00:00,  high, OK,0.5889,1
0 378 2001-01-24 19:00:00,   low, OK,0.5899,1
0 379 2001-01-24 20:00:00,  high, NG,0.5884,1
0 380 2001-01-24 21:00:00,   low, NG,0.5868,1
0 381 2001-01-24 22:00:00,  high, NG,0.5853,1
0 382 2001-01-24 23:00:00,  high, OK,0.5864,1
0 383 2001-01-25 00:00:00,  high, NG,0.5849,1
0 384 2001-01-25 01:00:00,  high, NG,0.5833,1
0 385 2001-01-25 02:00:00,   low, NG,0.5818,1
0 386 2001-01-25 03:00:00,   low, NG,0.5803,1
0 387 2001-01-25 04:00:00,  high, OK,0.5814,1
0 388 2001-01-25 05:00:00,  high, NG,0.5799,1
0 389 2001-01-25 06:00:00,   low, OK,0.581,1
