timestamp,open,high,low,close
datetime,float,float,float,float
T,,,,
2006-01-02 23:00:00,117.83,117.83,117.74,117.74
2006-01-03 00:00:00,117.74,117.86,117.74,117.75
2006-01-03 01:00:00,117.75,117.82,117.52,117.52
2006-01-03 02:00:00,117.50,117.56,117.27,117.33
2006-01-03 03:00:00,117.33,117.37,117.30,117.36
2006-01-03 04:00:00,117.36,117.36,117.14,117.14
2006-01-03 05:00:00,117.14,117.25,117.09,117.23
2006-01-03 06:00:00,117.22,117.33,117.06,117.32
2006-01-03 07:00:00,117.31,117.34,117.19,117.19
2006-01-03 08:00:00,117.18,117.20,116.96,116.96
2006-01-03 09:00:00,116.96,117.15,116.96,117.08
2006-01-03 10:00:00,117.08,117.19,116.98,117.17
2006-01-03 11:00:00,117.17,117.36,117.11,117.21
2006-01-03 12:00:00,117.21,117.28,117.19,117.23
2006-01-03 13:00:00,117.24,117.54,117.23,117.41
2006-01-03 14:00:00,117.40,117.46,117.05,117.11
2006-01-03 15:00:00,117.11,117.11,116.56,116.59
2006-01-03 16:00:00,116.58,116.65,116.26,116.32
2006-01-03 17:00:00,116.33,116.44,116.25,116.41
2006-01-03 18:00:00,116.41,116.52,116.37,116.44
2006-01-03 19:00:00,116.43,116.44,116.00,116.04
2006-01-03 20:00:00,116.04,116.31,116.00,116.19
2006-01-03 21:00:00,116.19,116.22,116.07,116.17
2006-01-03 22:00:00,116.16,116.22,116.14,116.20
2006-01-03 23:00:00,116.20,116.29,115.85,115.91
2006-01-04 00:00:00,115.92,116.11,115.86,115.99
2006-01-04 01:00:00,116.00,116.04,115.95,115.97
2006-01-04 02:00:00,115.97,115.97,115.65,115.77
2006-01-04 03:00:00,115.76,115.78,115.58,115.70
2006-01-04 04:00:00,115.70,115.80,115.68,115.74
2006-01-04 05:00:00,115.74,115.76,115.64,115.68
2006-01-04 06:00:00,115.69,115.76,115.63,115.72
2006-01-04 07:00:00,115.73,116.08,115.72,115.94
2006-01-04 08:00:00,115.94,116.05,115.83,115.92
2006-01-04 09:00:00,115.93,116.21,115.88,116.05
2006-01-04 10:00:00,116.06,116.39,116.03,116.25
2006-01-04 11:00:00,116.24,116.31,116.19,116.20
2006-01-04 12:00:00,116.20,116.22,115.81,116.00
2006-01-04 13:00:00,116.01,116.12,115.95,115.99
2006-01-04 14:00:00,116.00,116.33,115.99,116.19
2006-01-04 15:00:00,116.20,116.39,116.17,116.25
2006-01-04 16:00:00,116.25,116.42,116.19,116.29
2006-01-04 17:00:00,116.29,116.30,115.87,115.97
2006-01-04 18:00:00,115.96,116.07,115.87,115.97
2006-01-04 19:00:00,115.97,116.03,115.89,115.96
